r  theta   phi  
3.22 0.565487 0.973894 
3.34 0.565487 1.00531 
3.42 0.565487 1.03673 
3.62 0.565487 1.06814 
3.94 0.565487 1.09956 
3.9 0.628319 -1.09956 
3.58 0.628319 -1.06814 
3.42 0.628319 -1.03673 
3.3 0.628319 -1.00531 
3.22 0.628319 -0.973894 
3.14 0.628319 -0.942478 
3.1 0.628319 -0.911062 
3.06 0.628319 -0.879646 
3.02 0.628319 -0.84823 
2.98 0.628319 -0.816814 
2.98 0.628319 -0.785398 
2.94 0.628319 -0.753982 
2.94 0.628319 -0.722566 
2.94 0.628319 -0.69115 
2.94 0.628319 -0.659734 
2.94 0.628319 -0.628319 
2.94 0.628319 -0.596903 
2.94 0.628319 -0.565487 
2.94 0.628319 -0.534071 
2.94 0.628319 -0.502655 
2.98 0.628319 -0.471239 
2.98 0.628319 -0.439823 
3.02 0.628319 -0.408407 
3.02 0.628319 -0.376991 
3.06 0.628319 -0.345575 
3.1 0.628319 -0.314159 
3.14 0.628319 -0.282743 
3.14 0.628319 -0.251327 
3.18 0.628319 -0.219911 
3.22 0.628319 -0.188496 
3.26 0.628319 -0.15708 
3.3 0.628319 -0.125664 
3.3 0.628319 -0.0942478 
3.34 0.628319 -0.0628319 
3.34 0.628319 -0.0314159 
3.34 0.628319 0 
3.34 0.628319 0.0314159 
3.34 0.628319 0.0628319 
3.3 0.628319 0.0942478 
3.3 0.628319 0.125664 
3.26 0.628319 0.15708 
3.22 0.628319 0.188496 
3.18 0.628319 0.219911 
3.14 0.628319 0.251327 
3.14 0.628319 0.282743 
3.1 0.628319 0.314159 
3.06 0.628319 0.345575 
3.02 0.628319 0.376991 
3.02 0.628319 0.408407 
2.98 0.628319 0.439823 
2.98 0.628319 0.471239 
2.94 0.628319 0.502655 
2.94 0.628319 0.534071 
2.94 0.628319 0.565487 
2.94 0.628319 0.596903 
2.94 0.628319 0.628319 
2.94 0.628319 0.659734 
2.94 0.628319 0.69115 
2.94 0.628319 0.722566 
2.94 0.628319 0.753982 
2.98 0.628319 0.785398 
2.98 0.628319 0.816814 
3.02 0.628319 0.84823 
3.06 0.628319 0.879646 
3.1 0.628319 0.911062 
3.14 0.628319 0.942478 
3.22 0.628319 0.973894 
3.3 0.628319 1.00531 
3.42 0.628319 1.03673 
3.58 0.628319 1.06814 
3.9 0.628319 1.09956 
3.86 0.69115 -1.09956 
3.58 0.69115 -1.06814 
3.42 0.69115 -1.03673 
3.3 0.69115 -1.00531 
3.22 0.69115 -0.973894 
3.14 0.69115 -0.942478 
3.1 0.69115 -0.911062 
3.06 0.69115 -0.879646 
3.02 0.69115 -0.84823 
2.98 0.69115 -0.816814 
2.94 0.69115 -0.785398 
2.94 0.69115 -0.753982 
2.94 0.69115 -0.722566 
2.9 0.69115 -0.69115 
2.9 0.69115 -0.659734 
2.9 0.69115 -0.628319 
2.9 0.69115 -0.596903 
2.9 0.69115 -0.565487 
2.9 0.69115 -0.534071 
2.94 0.69115 -0.502655 
2.94 0.69115 -0.471239 
2.94 0.69115 -0.439823 
2.98 0.69115 -0.408407 
2.98 0.69115 -0.376991 
3.02 0.69115 -0.345575 
3.06 0.69115 -0.314159 
3.06 0.69115 -0.282743 
3.1 0.69115 -0.251327 
3.14 0.69115 -0.219911 
3.18 0.69115 -0.188496 
3.18 0.69115 -0.15708 
3.22 0.69115 -0.125664 
3.22 0.69115 -0.0942478 
3.26 0.69115 -0.0628319 
3.26 0.69115 -0.0314159 
3.26 0.69115 0 
3.26 0.69115 0.0314159 
3.26 0.69115 0.0628319 
3.22 0.69115 0.0942478 
3.22 0.69115 0.125664 
3.18 0.69115 0.15708 
3.18 0.69115 0.188496 
3.14 0.69115 0.219911 
3.1 0.69115 0.251327 
3.06 0.69115 0.282743 
3.06 0.69115 0.314159 
3.02 0.69115 0.345575 
2.98 0.69115 0.376991 
2.98 0.69115 0.408407 
2.94 0.69115 0.439823 
2.94 0.69115 0.471239 
2.94 0.69115 0.502655 
2.9 0.69115 0.534071 
2.9 0.69115 0.565487 
2.9 0.69115 0.596903 
2.9 0.69115 0.628319 
2.9 0.69115 0.659734 
2.9 0.69115 0.69115 
2.94 0.69115 0.722566 
2.94 0.69115 0.753982 
2.94 0.69115 0.785398 
2.98 0.69115 0.816814 
3.02 0.69115 0.84823 
3.06 0.69115 0.879646 
3.1 0.69115 0.911062 
3.14 0.69115 0.942478 
3.22 0.69115 0.973894 
3.3 0.69115 1.00531 
3.42 0.69115 1.03673 
3.58 0.69115 1.06814 
3.86 0.69115 1.09956 
3.86 0.753982 -1.09956 
3.58 0.753982 -1.06814 
3.42 0.753982 -1.03673 
3.3 0.753982 -1.00531 
3.22 0.753982 -0.973894 
3.14 0.753982 -0.942478 
3.1 0.753982 -0.911062 
3.06 0.753982 -0.879646 
3.02 0.753982 -0.84823 
2.98 0.753982 -0.816814 
2.94 0.753982 -0.785398 
2.94 0.753982 -0.753982 
2.9 0.753982 -0.722566 
2.9 0.753982 -0.69115 
2.9 0.753982 -0.659734 
2.9 0.753982 -0.628319 
2.9 0.753982 -0.596903 
2.9 0.753982 -0.565487 
2.9 0.753982 -0.534071 
2.9 0.753982 -0.502655 
2.94 0.753982 -0.471239 
2.94 0.753982 -0.439823 
2.98 0.753982 -0.408407 
2.98 0.753982 -0.376991 
3.02 0.753982 -0.345575 
3.02 0.753982 -0.314159 
3.06 0.753982 -0.282743 
3.06 0.753982 -0.251327 
3.1 0.753982 -0.219911 
3.14 0.753982 -0.188496 
3.14 0.753982 -0.15708 
3.18 0.753982 -0.125664 
3.18 0.753982 -0.0942478 
3.22 0.753982 -0.0628319 
3.22 0.753982 -0.0314159 
3.22 0.753982 0 
3.22 0.753982 0.0314159 
3.22 0.753982 0.0628319 
3.18 0.753982 0.0942478 
3.18 0.753982 0.125664 
3.14 0.753982 0.15708 
3.14 0.753982 0.188496 
3.1 0.753982 0.219911 
3.06 0.753982 0.251327 
3.06 0.753982 0.282743 
3.02 0.753982 0.314159 
3.02 0.753982 0.345575 
2.98 0.753982 0.376991 
2.98 0.753982 0.408407 
2.94 0.753982 0.439823 
2.94 0.753982 0.471239 
2.9 0.753982 0.502655 
2.9 0.753982 0.534071 
2.9 0.753982 0.565487 
2.9 0.753982 0.596903 
2.9 0.753982 0.628319 
2.9 0.753982 0.659734 
2.9 0.753982 0.69115 
2.9 0.753982 0.722566 
2.94 0.753982 0.753982 
2.94 0.753982 0.785398 
2.98 0.753982 0.816814 
3.02 0.753982 0.84823 
3.06 0.753982 0.879646 
3.1 0.753982 0.911062 
3.14 0.753982 0.942478 
3.22 0.753982 0.973894 
3.3 0.753982 1.00531 
3.42 0.753982 1.03673 
3.58 0.753982 1.06814 
3.86 0.753982 1.09956 
3.86 0.816814 -1.09956 
3.58 0.816814 -1.06814 
3.42 0.816814 -1.03673 
3.3 0.816814 -1.00531 
3.22 0.816814 -0.973894 
3.14 0.816814 -0.942478 
3.1 0.816814 -0.911062 
3.06 0.816814 -0.879646 
3.02 0.816814 -0.84823 
2.98 0.816814 -0.816814 
2.94 0.816814 -0.785398 
2.94 0.816814 -0.753982 
2.9 0.816814 -0.722566 
2.9 0.816814 -0.69115 
2.9 0.816814 -0.659734 
2.9 0.816814 -0.628319 
2.9 0.816814 -0.596903 
2.9 0.816814 -0.565487 
2.9 0.816814 -0.534071 
2.9 0.816814 -0.502655 
2.94 0.816814 -0.471239 
2.94 0.816814 -0.439823 
2.98 0.816814 -0.408407 
2.98 0.816814 -0.376991 
3.02 0.816814 -0.345575 
3.02 0.816814 -0.314159 
3.06 0.816814 -0.282743 
3.06 0.816814 -0.251327 
3.1 0.816814 -0.219911 
3.14 0.816814 -0.188496 
3.14 0.816814 -0.15708 
3.18 0.816814 -0.125664 
3.18 0.816814 -0.0942478 
3.22 0.816814 -0.0628319 
3.22 0.816814 -0.0314159 
3.22 0.816814 0 
3.22 0.816814 0.0314159 
3.22 0.816814 0.0628319 
3.18 0.816814 0.0942478 
3.18 0.816814 0.125664 
3.14 0.816814 0.15708 
3.14 0.816814 0.188496 
3.1 0.816814 0.219911 
3.06 0.816814 0.251327 
3.06 0.816814 0.282743 
3.02 0.816814 0.314159 
3.02 0.816814 0.345575 
2.98 0.816814 0.376991 
2.98 0.816814 0.408407 
2.94 0.816814 0.439823 
2.94 0.816814 0.471239 
2.9 0.816814 0.502655 
2.9 0.816814 0.534071 
2.9 0.816814 0.565487 
2.9 0.816814 0.596903 
2.9 0.816814 0.628319 
2.9 0.816814 0.659734 
2.9 0.816814 0.69115 
2.9 0.816814 0.722566 
2.94 0.816814 0.753982 
2.94 0.816814 0.785398 
2.98 0.816814 0.816814 
3.02 0.816814 0.84823 
3.06 0.816814 0.879646 
3.1 0.816814 0.911062 
3.14 0.816814 0.942478 
3.22 0.816814 0.973894 
3.3 0.816814 1.00531 
3.42 0.816814 1.03673 
3.58 0.816814 1.06814 
3.86 0.816814 1.09956 
3.86 0.879646 -1.09956 
3.58 0.879646 -1.06814 
3.42 0.879646 -1.03673 
3.3 0.879646 -1.00531 
3.22 0.879646 -0.973894 
3.14 0.879646 -0.942478 
3.1 0.879646 -0.911062 
3.06 0.879646 -0.879646 
3.02 0.879646 -0.84823 
2.98 0.879646 -0.816814 
2.94 0.879646 -0.785398 
2.94 0.879646 -0.753982 
2.94 0.879646 -0.722566 
2.9 0.879646 -0.69115 
2.9 0.879646 -0.659734 
2.9 0.879646 -0.628319 
2.9 0.879646 -0.596903 
2.9 0.879646 -0.565487 
2.9 0.879646 -0.534071 
2.94 0.879646 -0.502655 
2.94 0.879646 -0.471239 
2.94 0.879646 -0.439823 
2.98 0.879646 -0.408407 
2.98 0.879646 -0.376991 
3.02 0.879646 -0.345575 
3.06 0.879646 -0.314159 
3.06 0.879646 -0.282743 
3.1 0.879646 -0.251327 
3.14 0.879646 -0.219911 
3.18 0.879646 -0.188496 
3.18 0.879646 -0.15708 
3.22 0.879646 -0.125664 
3.22 0.879646 -0.0942478 
3.26 0.879646 -0.0628319 
3.26 0.879646 -0.0314159 
3.26 0.879646 0 
3.26 0.879646 0.0314159 
3.26 0.879646 0.0628319 
3.22 0.879646 0.0942478 
3.22 0.879646 0.125664 
3.18 0.879646 0.15708 
3.18 0.879646 0.188496 
3.14 0.879646 0.219911 
3.1 0.879646 0.251327 
3.06 0.879646 0.282743 
3.06 0.879646 0.314159 
3.02 0.879646 0.345575 
2.98 0.879646 0.376991 
2.98 0.879646 0.408407 
2.94 0.879646 0.439823 
2.94 0.879646 0.471239 
2.94 0.879646 0.502655 
2.9 0.879646 0.534071 
2.9 0.879646 0.565487 
2.9 0.879646 0.596903 
2.9 0.879646 0.628319 
2.9 0.879646 0.659734 
2.9 0.879646 0.69115 
2.94 0.879646 0.722566 
2.94 0.879646 0.753982 
2.94 0.879646 0.785398 
2.98 0.879646 0.816814 
3.02 0.879646 0.84823 
3.06 0.879646 0.879646 
3.1 0.879646 0.911062 
3.14 0.879646 0.942478 
3.22 0.879646 0.973894 
3.3 0.879646 1.00531 
3.42 0.879646 1.03673 
3.58 0.879646 1.06814 
3.86 0.879646 1.09956 
3.9 0.942478 -1.09956 
3.58 0.942478 -1.06814 
3.42 0.942478 -1.03673 
3.3 0.942478 -1.00531 
3.22 0.942478 -0.973894 
3.14 0.942478 -0.942478 
3.1 0.942478 -0.911062 
3.06 0.942478 -0.879646 
3.02 0.942478 -0.84823 
2.98 0.942478 -0.816814 
2.98 0.942478 -0.785398 
2.94 0.942478 -0.753982 
2.94 0.942478 -0.722566 
2.94 0.942478 -0.69115 
2.94 0.942478 -0.659734 
2.94 0.942478 -0.628319 
2.94 0.942478 -0.596903 
2.94 0.942478 -0.565487 
2.94 0.942478 -0.534071 
2.94 0.942478 -0.502655 
2.98 0.942478 -0.471239 
2.98 0.942478 -0.439823 
3.02 0.942478 -0.408407 
3.02 0.942478 -0.376991 
3.06 0.942478 -0.345575 
3.1 0.942478 -0.314159 
3.14 0.942478 -0.282743 
3.14 0.942478 -0.251327 
3.18 0.942478 -0.219911 
3.22 0.942478 -0.188496 
3.26 0.942478 -0.15708 
3.3 0.942478 -0.125664 
3.3 0.942478 -0.0942478 
3.34 0.942478 -0.0628319 
3.34 0.942478 -0.0314159 
3.34 0.942478 0 
3.34 0.942478 0.0314159 
3.34 0.942478 0.0628319 
3.3 0.942478 0.0942478 
3.3 0.942478 0.125664 
3.26 0.942478 0.15708 
3.22 0.942478 0.188496 
3.18 0.942478 0.219911 
3.14 0.942478 0.251327 
3.14 0.942478 0.282743 
3.1 0.942478 0.314159 
3.06 0.942478 0.345575 
3.02 0.942478 0.376991 
3.02 0.942478 0.408407 
2.98 0.942478 0.439823 
2.98 0.942478 0.471239 
2.94 0.942478 0.502655 
2.94 0.942478 0.534071 
2.94 0.942478 0.565487 
2.94 0.942478 0.596903 
2.94 0.942478 0.628319 
2.94 0.942478 0.659734 
2.94 0.942478 0.69115 
2.94 0.942478 0.722566 
2.94 0.942478 0.753982 
2.98 0.942478 0.785398 
2.98 0.942478 0.816814 
3.02 0.942478 0.84823 
